"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 16 11:53:48 GMT 2020","Mon Nov 16 11:53:48 GMT 2020","0","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","test1","test1()",""
"passed","Mon Nov 16 11:53:47 GMT 2020","Mon Nov 16 11:53:48 GMT 2020","1100","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","test2","test2()",""
"passed","Mon Nov 16 11:53:39 GMT 2020","Mon Nov 16 11:53:47 GMT 2020","8010","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","test1","test1()",""
"skipped","Mon Nov 16 11:53:39 GMT 2020","Mon Nov 16 11:53:39 GMT 2020","2","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","tes3","tes3()",""
"skipped","Mon Nov 16 11:53:48 GMT 2020","Mon Nov 16 11:53:48 GMT 2020","0","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","test2","test2()",""
