"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 12:00:44 GMT 2020","Mon Nov 16 12:00:57 GMT 2020","12520","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","test1","test1()",""
"passed","Mon Nov 16 12:00:57 GMT 2020","Mon Nov 16 12:00:58 GMT 2020","1044","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","test2","test2()",""
"skipped","Mon Nov 16 12:00:58 GMT 2020","Mon Nov 16 12:00:58 GMT 2020","0","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","test2","test2()",""
"skipped","Mon Nov 16 12:00:58 GMT 2020","Mon Nov 16 12:00:58 GMT 2020","0","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","test1","test1()",""
"skipped","Mon Nov 16 12:00:44 GMT 2020","Mon Nov 16 12:00:44 GMT 2020","1","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","tes3","tes3()",""
