"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 16 12:07:07 GMT 2020","Mon Nov 16 12:07:07 GMT 2020","0","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","test2","test2()",""
"failed","Mon Nov 16 12:06:55 GMT 2020","Mon Nov 16 12:07:04 GMT 2020","9325","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","tes3","tes3()",""
"skipped","Mon Nov 16 12:07:07 GMT 2020","Mon Nov 16 12:07:07 GMT 2020","0","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendWith","test1","test1()",""
"passed","Mon Nov 16 12:07:05 GMT 2020","Mon Nov 16 12:07:05 GMT 2020","819","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","test1","test1()",""
"passed","Mon Nov 16 12:07:05 GMT 2020","Mon Nov 16 12:07:07 GMT 2020","1228","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","","ru.heisenbug.selenide.heisenbug.demo.allure.todoMVCTestWithExtendsBaseTest","test2","test2()",""
